percentage_of_ones,compressed_size,data_size
0.0,176,100
0.001,216,100
0.002,176,100
0.003,232,100
0.004,176,100
0.005,192,100
0.006,264,100
0.007,224,100
0.008,224,100
0.009,264,100
0.01,264,100
0.011,264,100
0.012,264,100
0.013,264,100
0.014,264,100
0.015,264,100
0.016,264,100
0.017,264,100
0.018,264,100
0.019,264,100
0.02,264,100
0.021,232,100
0.022,264,100
0.023,264,100
0.024,264,100
0.025,264,100
0.026,264,100
0.027,264,100
0.028,264,100
0.029,264,100
0.03,264,100
0.031,264,100
0.032,264,100
0.033,264,100
0.034,264,100
0.035,264,100
0.036,264,100
0.037,264,100
0.038,264,100
0.039,264,100
0.04,264,100
0.041,264,100
0.042,264,100
0.043,264,100
0.044,264,100
0.045,264,100
0.046,264,100
0.047,264,100
0.048,264,100
0.049,264,100
0.05,264,100
0.051,264,100
0.052,264,100
0.053,264,100
0.054,264,100
0.055,264,100
0.056,264,100
0.057,264,100
0.058,264,100
0.059,264,100
0.06,264,100
0.061,264,100
0.062,264,100
0.063,264,100
0.064,272,100
0.065,264,100
0.066,264,100
0.067,264,100
0.068,264,100
0.069,264,100
0.07,264,100
0.071,264,100
0.072,264,100
0.073,264,100
0.074,264,100
0.075,264,100
0.076,264,100
0.077,264,100
0.078,264,100
0.079,264,100
0.08,264,100
0.081,264,100
0.082,264,100
0.083,264,100
0.084,264,100
0.085,272,100
0.086,264,100
0.087,272,100
0.088,264,100
0.089,272,100
0.09,264,100
0.091,272,100
0.092,272,100
0.093,264,100
0.094,264,100
0.095,264,100
0.096,264,100
0.097,264,100
0.098,264,100
0.099,272,100
0.1,272,100
0.0,176,200
0.001,200,200
0.002,264,200
0.003,232,200
0.004,232,200
0.005,328,200
0.006,304,200
0.007,288,200
0.008,304,200
0.009,344,200
0.01,320,200
0.011,360,200
0.012,312,200
0.013,360,200
0.014,312,200
0.015,360,200
0.016,344,200
0.017,336,200
0.018,360,200
0.019,360,200
0.02,344,200
0.021,328,200
0.022,360,200
0.023,360,200
0.024,336,200
0.025,360,200
0.026,320,200
0.027,360,200
0.028,344,200
0.029,360,200
0.03,360,200
0.031,360,200
0.032,360,200
0.033,352,200
0.034,360,200
0.035,352,200
0.036,360,200
0.037,360,200
0.038,360,200
0.039,360,200
0.04,360,200
0.041,360,200
0.042,360,200
0.043,360,200
0.044,360,200
0.045,360,200
0.046,360,200
0.047,360,200
