percentage_of_ones,compressed_size,data_size
0.0,184,0
0.001,184,0
0.002,184,0
0.003,184,0
0.004,184,0
0.005,184,0
0.006,184,0
0.007,184,0
0.008,184,0
0.009,184,0
0.01,184,0
0.011,184,0
0.012,184,0
0.013,184,0
0.014,184,0
0.015,184,0
0.016,184,0
0.017,184,0
0.018,184,0
0.019,184,0
0.02,184,0
0.021,184,0
0.022,184,0
0.023,184,0
0.024,184,0
0.025,184,0
0.026,184,0
0.027,184,0
0.028,184,0
0.029,184,0
0.03,184,0
0.031,184,0
0.032,184,0
0.033,184,0
0.034,184,0
0.035,184,0
0.036,184,0
0.037,184,0
0.038,184,0
0.039,184,0
0.04,184,0
0.041,184,0
0.042,184,0
0.043,184,0
0.044,184,0
0.045,184,0
0.046,184,0
0.047,184,0
0.048,184,0
0.049,184,0
0.05,184,0
0.051,184,0
0.052,184,0
0.053,184,0
0.054,184,0
0.055,184,0
0.056,184,0
0.057,184,0
0.058,184,0
0.059,184,0
0.06,184,0
0.061,184,0
0.062,184,0
0.063,184,0
0.064,184,0
0.065,184,0
0.066,184,0
0.067,184,0
0.068,184,0
0.069,184,0
0.07,184,0
0.071,184,0
0.072,184,0
0.073,184,0
0.074,184,0
0.075,184,0
0.076,184,0
0.077,184,0
0.078,184,0
0.079,184,0
0.08,184,0
0.081,184,0
0.082,184,0
0.083,184,0
0.084,184,0
0.085,184,0
0.086,184,0
0.087,184,0
0.088,184,0
0.089,184,0
0.09,184,0
0.091,184,0
0.092,184,0
0.093,184,0
0.094,184,0
0.095,184,0
0.096,184,0
0.097,184,0
0.098,184,0
0.099,184,0
0.1,184,0
0.101,184,0
0.102,184,0
0.103,184,0
0.104,184,0
0.105,184,0
0.106,184,0
0.107,184,0
0.108,184,0
0.109,184,0
0.11,184,0
0.111,184,0
0.112,184,0
0.113,184,0
0.114,184,0
0.115,184,0
0.116,184,0
0.117,184,0
0.118,184,0
0.119,184,0
0.12,184,0
0.121,184,0
0.122,184,0
0.123,184,0
0.124,184,0
0.125,184,0
0.126,184,0
0.127,184,0
0.128,184,0
0.129,184,0
0.13,184,0
0.131,184,0
0.132,184,0
0.133,184,0
0.134,184,0
0.135,184,0
0.136,184,0
0.137,184,0
0.138,184,0
0.139,184,0
0.14,184,0
0.141,184,0
0.142,184,0
0.143,184,0
0.144,184,0
0.145,184,0
0.146,184,0
0.147,184,0
0.148,184,0
0.149,184,0
0.15,184,0
0.151,184,0
0.152,184,0
0.153,184,0
0.154,184,0
0.155,184,0
0.156,184,0
0.157,184,0
0.158,184,0
0.159,184,0
0.16,184,0
0.161,184,0
0.162,184,0
0.163,184,0
0.164,184,0
0.165,184,0
0.166,184,0
0.167,184,0
0.168,184,0
0.169,184,0
0.17,184,0
0.171,184,0
0.172,184,0
0.173,184,0
0.174,184,0
0.175,184,0
0.176,184,0
0.177,184,0
0.178,184,0
0.179,184,0
0.18,184,0
0.181,184,0
0.182,184,0
0.183,184,0
0.184,184,0
0.185,184,0
0.186,184,0
0.187,184,0
0.188,184,0
0.189,184,0
0.19,184,0
0.191,184,0
0.192,184,0
0.193,184,0
